20100101	377.0416666666667, 285.5833333333333
20100102	378.6666666666667, 286.9166666666667
20100103	379.4583333333333, 288.25
20100104	377.75, 286.4166666666667
20100105	375.4166666666667, 283.1666666666667
20100106	375.0833333333333, 281.7916666666667
20100107	374.4583333333333, 281.5833333333333
20100108	371.9583333333333, 277.2916666666667
20100109	368.75, 272.5833333333333
20100110	366.2916666666667, 269.5833333333333
20100111	364.9583333333333, 266.5
20100112	363.0416666666667, 263.0833333333333
20100113	360.4166666666667, 260.2083333333333
20100114	357.375, 256.8333333333333
20100115	355.125, 254.25
20100116	354.75, 253.58333333333334
20100117	355.2083333333333, 253.45833333333334
20100118	355.2916666666667, 251.66666666666666
20100119	354.7083333333333, 249.875
20100120	353.2916666666667, 247.45833333333334
20100121	352.5, 244.75
20100122	353.7916666666667, 246.5
20100123	356.2083333333333, 250.41666666666666
20100124	358.5416666666667, 251.875
20100125	360.9166666666667, 253.125
20100126	363.2083333333333, 255.66666666666666
20100127	365.7083333333333, 258.4583333333333
20100128	368.5833333333333, 261.2083333333333
20100129	369.8333333333333, 261.2083333333333
20100130	370.6666666666667, 260.875
20100131	371.75, 261.0416666666667
